Pos,Player,Tm,Year,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
MLB,Luke Kuechly,CAR,2015,3,13,13,0,0,0,0,0,0,0,0,0,0,0,76,1,4,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
MLB,Derrick Johnson,KAN,2015,10,16,16,0,0,0,0,0,0,0,0,0,0,0,95,4,2,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
LB,Anthony Barr,MIN,2015,1,14,14,0,0,0,0,0,0,0,0,0,0,0,54,3.5,1,PFF: 1st Tm
LB,K.J. Wright,SEA,2015,4,16,16,0,0,0,0,0,0,0,0,0,0,0,71,1,0,PFF: 2nd Tm
CB,Patrick Peterson,ARI,2015,4,16,16,0,0,0,0,0,0,0,0,0,0,0,35,0,2,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
CB,Josh Norman,CAR,2015,3,16,16,0,0,0,0,0,0,0,0,0,0,0,48,0,4,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
CB,Richard Sherman,SEA,2015,4,16,16,0,0,0,0,0,0,0,0,0,0,0,33,0,2,"AP: 2nd Tm, PFF: 1st Tm"
CB,Chris Harris Jr.,DEN,2015,4,16,16,0,0,0,0,0,0,0,0,0,0,0,49,0,2,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
CB,Marcus Peters,KAN,2015,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,53,0,8,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
CB,Johnathan Joseph,HOU,2015,9,16,16,0,0,0,0,0,0,0,0,0,0,0,48,0,1,PFF: 2nd Tm
S,Tyrann Mathieu,ARI,2015,2,14,14,0,0,0,0,0,0,0,0,0,0,0,80,1,5,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
S,Eric Berry,KAN,2015,5,16,15,0,0,0,0,0,0,0,0,0,0,0,55,0,2,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm"
S,Earl Thomas,SEA,2015,5,16,16,0,0,0,0,0,0,0,0,0,0,0,45,0,5,"PFW: 1st Tm All-Conf., PFF: 2nd Tm, SN: 1st Tm"
S,Malcolm Jenkins,PHI,2015,6,16,16,0,0,0,0,0,0,0,0,0,0,0,90,0,2,PFF: 1st Tm
S,Harrison Smith,MIN,2015,3,13,13,0,0,0,0,0,0,0,0,0,0,0,49,1.5,2,PFF: 1st Tm
S,Reggie Nelson,CIN,2015,8,16,16,0,0,0,0,0,0,0,0,0,0,0,52,0,8,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
S,Charles Woodson,OAK,2015,17,16,16,0,0,0,0,0,1,-3,0,0,0,0,59,0,5,AP: 2nd Tm
P,Johnny Hekker,STL,2015,3,16,0,1,4,20,0,0,0,0,0,0,0,0,2,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
P,Pat McAfee,IND,2015,6,16,0,0,0,0,0,0,1,18,0,0,0,0,1,0,0,PFF: 1st Tm
P,Sam Koch,BAL,2015,9,16,0,1,1,-3,0,0,1,7,0,0,0,0,1,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
